</s>
是_v	并非_v
检察署_n	法院_n 检察员_n 监察院_n 检察院_n 检察官_n
命悬_n
基本型_n	豪华型_n 精英型_n 标准型_n 昊锐_n 车型_n 天窗版_n
弹琴_n	曲子_n
同甘共苦_id	风雨同舟_id
屠夫_n	小弟_n
专一_a	痴情_a
奋发_v	拼搏_v 奋进_v 砥砺_v
不慌不忙_id	二话不说_id
牌友_n
伟岸_a	俏丽_a 英俊_a 高大_a 挺拔_a
枝条_n	桑树_n 杨树_n 嫩芽_n 国槐_n 杂草_n 枝叶_n 柳树_n
湿_v	洗洗_v 擦擦_v 冲凉_v
傅作义_np	李克农_np
狂妄_a	自大_a
迫切性_n	现实性_n 决策层_n
恶行_n	行贿者_n 无辜_n 敲诈者_n
赵飞_np	石俊荣_np 王翔_np 杨冰_np 王学军_np 朱华_np
小径_n	怪石_n 小道_n 峭壁_n 山丘_n 山顶_n 山势_n 石阶_n 绝壁_n
自给_v	播种_v 歉收_v 增产_v
战警_n	无间道_n
安插_v	刺探_v 拉拢_v 听命_v
伪军_n	师团_n 清军_n 敌军_n 起义军_n 日寇_n
婚约_n	男方_n 阿汤哥_n
借入_v	交收_v 质押_v 借出_v
七零八落_id
安妮斯顿_np	海瑟薇_np 蕾哈娜_np
赵青山_np	周晓鸥_np 姚卓君_np 李保田_np
希尔顿_np	谢丽尔_np
陈序_np	刘睿_np 吴昌荣_np 周良_np 张梦旭_np 吕迎旭_np
彰_v	显_v 突显_v 显出_v
寨子_n	深山_n 场镇_n 村子_n 人家_n 山坡_n 庄稼地_n 田地_n 山沟_n 羊圈_n
徐鸣_np	凌成兴_np 虞海燕_np 许瑞生_np 张大卫_np 陈桦_np 李云峰_np 于伟国_np
笑谈_n
集锦_n	节目单_n 配乐_n 片段_n
使唤_v	念叨_v 走开_v
潮语_n
罂粟壳_n	盐_n 调味料_n 鸡爪_n 调料_n 味精_n 料酒_n 豆芽_n 硼砂_n
簿记_v	建档_v 询价_v
直营_a
器质性_n	老年性_n 血管性_n 疾病_n 心脑血管病_n 病症_n
快意_n	豪情_n 江湖_n 修仙_n 仙界_n 豪杰_n
米粒_n	指甲盖_n 鱼鳞_n 碗口_n 叶子_n 形状_n
一片哗然_id	不攻自破_id 轩然大波_id
新会_ns	河源_ns 东莞_ns 肇庆_ns 江门_ns 开平市_ns
萨那_ns	伊拉克_ns 巴基斯坦_ns 的黎波里_ns 大马士革_ns 巴格达_ns 喀布尔_ns 也门_ns
休闲会_n	风情街_n
刘旭_np	贾靖峰_np 贺颖骏_np 施晓慧_np 颜欢_np 曹妍_np 钱春弦_np 陈开_np 周良_np 闫晓虹_np
出师_v	修炼_v
副食_n	作料_n 烧饼_n 馅儿_n 菜_n 卤味_n 干货_n 凉菜_n 酱菜_n
杨栋梁_np	李国英_np 支树平_np 刘捷_np 马馼_np 边振甲_np 马军胜_np 汪民_np
前哨_n	海军_n 舰船_n 盟军_n 战舰_n 舰只_n 舰队_n 军舰_n
杨子_n
适婚_v	择偶_v 初婚_v 未婚_v 成家_v 退休_v
一般说来_id
细枝末节_id	流于形式_id
实训_n	专业型_n 教学_n 技能型_n 培训班_n 技工_n 订单式_n
孤老_n	病残_n 敬老院_n 低保_n 特困户_n 救助金_n 困难户_n 孤残_n 孤儿_n 优抚对象_n 空巢_n
希望赛_n	巡回赛_n
长沙路_ns	南路_ns 四方区_ns 尧庙_ns 中山东路_ns 解放东路_ns
表达权_n	参与权_n 交易权_n 知情权_n 决策权_n 监督权_n 管理权_n 执行权_n
忍让_v	决绝_v 屈从_v
候_v	坐_v 跑_v 小跑_v
分权_v	制衡_v 行使_v 决策_v 放权_v
群马县_ns	埼玉县_ns 宫城县_ns 茨城县_ns 北海道_ns 熊本县_ns 福岛县_ns 台东县_ns 静冈县_ns
农艺师_n	指导站_n 站长_n 技术员_n 兽医站_n 农牧局_n 推广站_n
加工费_n	运费_n 成本价_n 卖价_n 进货价_n 进价_n 人工费_n 差价_n 销售价_n 毛利润_n 足金_n
小吃街_n	酒楼_n 小吃_n 美食街_n 美食城_n
小月_t
五谷_n	葡萄干_n 主料_n
计数_v	埋藏_v 残存_v 吸血_v
侠女_n	剧中_n
急症_n	小儿_n 危重症_n 老年病_n 血液病_n
命根_n
加温_v
冯巩_np	蔡明_np 林永健_np 唐国强_np 冯远征_np 阎维文_np 蔡国庆_np
酒宴_n	酒席_n 婚宴_n 礼金_n 宴席_n
开标_v	竣工_v 招标_v 试运行_v 评标_v 起止_v 报建_v 节点_v 投标_v 审核_v 预审_v
华章_n	篇章_n 翰墨_n 画卷_n 丹青_n 乐章_n
定式_n	思维_n 定势_n
约维蒂奇_np	帕齐尼_np 尤文_np 塞萨尔_np
辨析_v	归纳_v 摘抄_v 论述_v
木棒_n	小刀_n 菜刀_n 剪刀_n 匕首_n 木棍_n 铁棒_n 锄头_n 脖子_n 铁锤_n 铁棍_n 水果刀_n 铁锹_n 斧头_n
王璐瑶_np	刘嘉玲_np 陈冠希_np 余文乐_np ＬｕＬｕ_np
比亚迪_nz	奥迪_nz 丰田_nz 依维柯_nz 长安_nz 华晨_nz 金杯_nz 海马_nz 亚迪_nz 江铃_nz
玛瑙_n	釉色_n 翡翠_n 水晶_n 碧玉_n 珍珠_n 笔筒_n 碧玺_n
陪读_v	报班_v 住校_v 补习_v 转学_v 上学_v
如皋市_ns	临朐县_ns 临清市_ns 云阳县_ns 鄢陵县_ns
洞窟_n	溶洞_n 遗迹_n 洞穴_n
梁静_np	段奕宏_np 冯雷_np 彭于晏_np 于小伟_np 夏雨_np
警界_n
垃圾量_n	转运站_n 垃圾_n 污泥_n 产生量_n 专袋_n 处理场_n 处理率_n 污水_n 处理量_n 渗滤液_n
阿萨姆_nz
云台山_ns	蒙山_ns 天池_ns 武陵源_ns 明月山_ns 大峡谷_ns
自创_v
秋千_n	滑梯_n 凉亭_n 长椅_n 滑道_n 湖岸_n 海盗船_n
阿曼湾_ns	红海_ns 马六甲海峡_ns 波斯湾_ns 印度洋_ns 大港口_ns
步履_n	锐气_n 身躯_n
方庄_ns	五里店_ns 南三环_ns 右安门_ns 东口_ns 解放西路_ns 新华路_ns
潟湖_ns	黄岩岛_ns
王三明_np	小青_np 邢丹_np
辞职信_n	公开信_n 脸书_n 道歉信_n
姜片_n	葱花_n 调料_n 肉片_n 冰糖_n 香油_n 生抽_n
胡润_np	安永_np 德勤_np 麦肯锡_np 毕马威_np
汽车类_n	出口值_n 进出口额_n 交货值_n 销售额_n 产销率_n
产业群_n	聚集区_n 集聚区_n 产业区_n 高新产业_n 产业城_n 茶产业_n 产业带_n 产业园_n 产业园区_n 产业_n 集群_n
下泻_v
甜度_n	低糖_n 含糖量_n 荞麦_n 甜味_n 葡萄干_n 燕麦_n 水果_n 芥菜_n 瓜类_n
杆塔_n	导线_n 变电所_n 台区_n 配电室_n 变电站_n 泵房_n 配网_n
天河区_n	萝岗区_n 海珠区_n 白云区_n 越秀区_n 花都区_n
老许_np	老李_np
丘尔金_np	李保东_np 潘金_np 潘基文_np 穆阿利姆_np 拉夫罗夫_np 加季洛夫_np 科菲_np
菜系_n	菜式_n 名菜_n 美食_n 川菜_n 小食_n 小吃_n 风味_n
白费_n
冬泳_v	登山_v
贵港_ns	河池_ns 崇左_ns 钦州_ns 防城港_ns 百色_ns 梧州_ns 玉林_ns 贺州_ns
甘霖_np	张建国_np 周伯华_np 黄毅_np 刘宁_np 边振甲_np 杨刚_np
鹿泉市_ns	栾城县_ns 合江县_ns 临武县_ns 武邑县_ns 井陉县_ns
哈飞_nz	别克_nz 江铃_nz
涉改_v	贱卖_v 超编_v 拍价_v
次於_v	跻身_v 分列_v 跃居_v 仅次于_v 并列_v 排名_v 位居_v 次于_v 名列_v 位列_v
新城Ｄ_n	地块_n 面价_n
转持_v	分红_v
电极_n	聚合物_n 脉冲_n 薄膜_n 纳米_n 晶体_n 涂层_n 导体_n 保护膜_n 红外线_n
海床_n	沉船_n 岩石_n 洞穴_n 地层_n 地表_n
雷诺_v	换标_v
瑞瑞_nz
哄揱馆_n	鲧颈行_n 餐颈行_n 飨颈鸭_n 巉颊_n 馍颈行_n
豪庭_n	名都_n 花城_n 水岸_n 山庄_n 花园_n
临漳_ns	隆化县_ns 魏县_ns 临漳县_ns 邱县_ns 邯郸市_ns 广平县_ns
次卧_n	房子_n 三居室_n 租户_n 租客_n 两居室_n 空房_n 房主_n 房客_n 小姜_n 租房者_n 主卧_n 房东_n
白城_ns	鹤岗_ns 通化_ns
轻客_n	自主车_n 合资车型_n 家轿_n 欧系_n Ｃ级车_n 微车_n 豪华车_n 微客_n
栾城县_ns	郓城县_ns 泰山区_ns 元氏县_ns 巨野县_ns 晋州市_ns 正定县_ns 灵寿县_ns 临清市_ns 鹿泉市_ns 井陉县_ns 宁阳县_ns 武邑县_ns
气动_a
减赤_v	组阁_v 紧缩_v 削减_v
刘士林_np	方亚儿_np 王珍玲_np 刘海燕_np
蚂蝗_n	水龙头_n 怪味_n 水_n 水垢_n 水池_n 水渍_n 井水_n 水缸_n 自来水管_n
惠阳区_ns	惠州市_ns 惠阳_ns 惠城区_ns
三坡镇_ns	野三坡_ns 百里峡_ns 张坊_ns 白石山_ns 十渡_ns 涞水县_ns
油砂_n	矿床_n 矿种_n 储量_n 石油_n 油气_n 煤层气_n 油页岩_n 矿产_n 页岩气_n 当量_n
控线_n	满足率_n 理科_n 档分_n 投档线_n 文科_n 文史类_n 最低分_n 重点线_n 控制线_n 文理科_n
曹付湘_np
焦源源_np	孙伟东_np
暂缺_v
髻肴_n	揅颊_n
哄颠_v
肾衰竭_n	肾病_n 并发症_n 脑膜炎_n
语速_n	语气_n 表情_n 语调_n
吸储_v	息差_v 揽存_v 放贷_v 揽储_v
言外之意_id	人之常情_id
奥斯卡奖_nz	金马奖_nz 奥斯卡_nz 金像奖_nz 艾美奖_nz
于洪区_ns	迎宾路_ns 铁西区_ns 西区_ns 浦口区_ns 沈河区_ns 大东区_ns 青山区_ns
群租_n	公房_n 租户_n 房主_n 空房_n 空置房_n 物业费_n 房东_n
高盛_np
中资行_n	房贷_n 利率_n 存贷_n 股份制_n 中资银行_n 存款_n
科技司_n	规划司_n 合作司_n 财务司_n 司长_n 人事司_n 巡视员_n 产业司_n 局长_n 文化司_n 监管司_n 经委_n 管理司_n
杨依军_np	郝亚琳_np 焦莹_np 曹欣阳_np 贾天勇_np 孙奕_np 刘军涛_np 廖雷_np
网球队_n	乒乓球队_n 运动队_n 体操队_n 羽毛球队_n 跳水队_n 柔道队_n 游泳队_n 排球队_n 拳击队_n 举重队_n
皮亚托夫_np	科诺普尔扬卡_np 德维奇_np 梅尔贝里_np 乔－哈特_np 古瑟夫_np 斯尔纳_np 马拉费耶夫_np 季莫什丘克_np 亚尔莫连科_np 米列夫斯基_np
色狼_n	小偷_n 扒手_n 咸猪手_n 偷拍者_n
俾路支省_ns	奎达_ns 白沙瓦_ns 坎大哈省_ns 巴基斯坦_ns 卡拉奇_ns 高原州_ns 北瓦济里斯坦_ns
不出所料_id
借道_v	进出_v 绕_v
杨童舒_np	李湘_np 阿朵_np
事业线_n	纱裙_n 红裙_n 乳沟_n 性感_n
受创_v	承受_v 过重_v 伤害_v 导致_v
见证人_n	佛教界_n 后人_n
沃兹尼亚_ns
成谜_v	爆料_v 曝光_v 曝出_v 否认_v 曝料_v
款款_a	翩翩_a
牡丹亭_n	地方戏_n 话剧_n 京剧_n 评书_n 名角_n 唱段_n 沪剧_n
郜林_np	赵旭日_np 王永珀_np 冯仁亮_np 穆斯利_np 徐亮_np 王晓龙_np 达纳拉赫_np
玻璃钢_n	金属_n 模具_n 钢板_n 钛合金_n 硬质_n 不锈钢_n
血肿_n	关节_n
乙脑_n	狂犬病_n 宫颈癌_n 流感_n 破伤风_n 水痘_n 疫苗_n 麻疹_n
厮守_v	相爱_v 相守_v
茶油_n	核桃_n 茶叶_n 鲜食_n 食用菌_n 杂粮_n 乌龙茶_n
疲于奔命_id
限娱令_n	芒果台_n 黄金档_n 卫视_n 频网站_n 周播剧_n
曾俊_np	黄岸_np 苏蕾_np 许青红_np 刘桂芳_np 莫斯其格_np 勾伊娜_np 邱祎_np 吕莉红_np 师文静_np 林芳_np 范协洪_np 倪自放_np 孙琳琳_np 易东方_np 程雪超_np
本节_t	末节_t
变法_v
王攀_np	扶庆_np 孙铁翔_np 吕绍刚_np 陈冀_np 姜春媛_np
杨铁虎_np	李海霞_np 周音_np 钱春弦_np 齐中熙_np 胡光华_np
谋面_v
按摩店_n	杂货店_n 理发店_n 店主_n 服装店_n 发廊_n 饭馆_n
垫子_n	床头_n 被子_n 枕头_n 毯子_n 床铺_n 脸盆_n
坑爹_v
清缴_v	汇算_v 征税_v 纳税_v 预缴_v
权色_n	根源_n 人情_n 官商_n 温床_n
假面_n
红利税_n	税率_n 课税_n 个人所得税_n 所得税_n 税目_n 遗产税_n 税赋_n
林母_n	林家_n 前夫_n 妻子_n
修宪_v	推翻_v 违宪_v
洪学智_np	宋任穷_np 甘泗淇_np 罗瑞卿_np 李达_np 徐向前_np 陈锡联_np 王树声_np 刘亚楼_np 罗荣桓_np 杨得志_np
小魏_np	小李_np 老赵_np 老吴_np 小王_np 小杨_np
内地_n	影片_n 新片_n 画皮Ⅱ_n 画皮_n 进口片_n 票房_n 贺岁档_n 画皮２_n
哑巴_n	后妈_n 大丈夫_n 大哥_n
阿司匹林_nz
得分点_n	３分球_n 内线_n 防守端_n 关键球_n 进攻端_n 外线_n 进攻点_n 号位_n
顾此失彼_id	矫枉过正_id 急于求成_id 操之过急_id 虎头蛇尾_id
午时_t	初六_t
设为_v	除外_v 计分_v 增设_v 起止_v 更改_v 设置_v
道森_np	迈克_np 比尔_np 马克_np 克里斯_np
科林蒂安_np	阿森纳_np 切尔西_np 尤文_np 拜仁_np
小字_n	大字_n 标注_n 白纸_n 扉页_n
空手道_n	泰拳_n 棒球_n 篮球队_n 篮球_n
现政府_n	反对派_n 现政权_n 政权_n 军方_n
前世今生_id
讣告_n
刘老_np	李银桥_np
惯常_a	本来_a 呆板_a 无趣_a
流域性_n	来水量_n 局地性_n 水流量_n 寸滩站_n 泄流量_n 河网_n
家务事_n	后妈_n 长辈_n 丈母娘_n
马邦杰_np	潘治_np 王子江_np 关尹_np 徐征_np 胡建明_np 王昊飞_np 孙海光_np 韩梅_np 岳东兴_np
冒进_v
合议_v	审_v 审理_v 审判_v 庭审_v 采信_v 再审_v
惯犯_n	疑犯_n 案犯_n
猛犸象_n	陪葬品_n 墓葬_n 遗迹_n 古墓_n 化石_n 墓群_n 陶片_n
乌市_n
贤惠_a	倔强_a 温柔_a 乖巧_a
浇灭_v	停歇_v 发威_v 燃起_v
自体_a
文建明_np
萧_np	陈_np 黎_np 刘_np 梁_np 蔡_np 陶_np
桥西区_ns	桥东区_ns 石家庄市_ns 新华区_ns 长安区_ns 滁州市_ns
建设期_n	总用地_n 土建工程_n 项目_n 投资额_n 概算_n
南京城_n	京城_n 火炉_n
储备粮_n	服务局_n
棉布_n	质地_n 刷子_n 鞋底_n 梳子_n 布料_n
甲子_n	名臣_n 先祖_n
娄星区_ns	新化县_ns
乐舞_n	舞剧_n 交响音乐会_n
杂志网站_n	时报网站_n 报网站_n 路透社_n 月刊_n 杂志_n 周刊网站_n 邮报_n
田径场_n	网球场_n 拳击_n 体操_n 跆拳道_n 中长跑_n
门卫室_n	屋门_n 房门_n 居民楼_n 隔壁_n 楼道_n 门卫_n 单元楼_n
哨子_n	口哨_n 哨声_n
温带_n	海冰_n 小气候_n 北半球_n 洋流_n 山脉_n 气候_n 亚热带_n
阿帕奇_np
榆次区_ns	太谷县_ns 通辽市_ns 晋中市_ns 平罗县_ns
攻击线_n	前锋线_n 锋线_n 攻击手_n 中前场_n 中场_n 中卫_n 后防线_n
球网_n	弹地_n 前点_n 门柱_n 弧线球_n 近角_n 网窝_n 球门_n
有滋有味_id	其乐融融_id
糖果色_n	格纹_n 单品_n 俏皮_n 波点_n 荧光色_n 雪纺_n 纯色_n 裙装_n 森女_n 印花_n
会风_n	自我批评_n 问责_n
石窟_n	石刻_n 佛塔_n
岂止_v	作秀_v
护发素_n	发质_n 爽肤水_n 角质_n 洗面奶_n 角质层_n 精华液_n 卸妆油_n 面霜_n 化妆棉_n 洁面_n
领头人_n	中心户_n 能人_n 主心骨_n 土专家_n 村支_n 领头雁_n 支部_n 带头人_n
尊贵型_a	舒适型_a 高配_a 豪华型_a
茶匙_n	盐_n 砂糖_n 汤匙_n 红糖_n 香油_n 醋_n 柠檬汁_n 橄榄油_n
争先创优_id	凝心聚力_id 廉政勤政_id 党群共建_id 履职尽责_id
颈动脉_n	头颈部_n 动脉瘤_n 胸腔_n 腹腔_n 肺部_n 血管瘤_n
新洲区_n
保钓人士_n	海巡署_n 保钓船_n 保安厅_n 巡逻船_n 渔工_n 渔船_n
伯克利_nz	康奈尔_nz
指令性_n	定向生_n 计划数_n 配额_n 矿种_n
草甸_n	云雾_n 峡谷_n 山峰_n 山峦_n 飞瀑_n 群山_n 高山_n 雪山_n
纸婚_n
裸睡_v	发胖_v
螺栓_n	支架_n 螺母_n 开关_n 钢板_n 螺丝_n 管路_n
棉签_n	肥皂_n 海绵_n 注射器_n 棉球_n 肥皂水_n 化妆棉_n 毛巾_n 纸巾_n
盛佳鹏_np	王曦_np 张寒_np 金硕_np 宗晨亮_np 宋方灿_np 廖攀_np 张子扬_np 沈晨_np 卢岩_np
党恩_n	警营_n
天街_n	名都_n 水岸_n 金域_n
吕秀莲_np	金溥聪_np 吴敦义_np 洪智坤_np 柯文哲_np 陈水扁_np 陈致中_np 游锡堃_np 马英九_np 林益世_np 许添财_np
喀麦隆队_ni	挪威队_ni 尼日利亚队_ni 墨西哥队_ni 摩洛哥队_ni 智利队_ni 沙特队_ni 南斯拉夫队_ni 立陶宛队_ni 阿根廷队_ni
顾拜旦_np
推货_v	入市_v 回暖_v 换量_v 推盘_v
黄巍_np	程雪超_np 谷体伟_np 莫斯其格_np 黄征_np
国家、地区_ns	东南亚_ns 美洲_ns 大洋洲_ns 北美洲_ns
装帧_n	木刻_n 插图_n 体裁_n
药学院_n	医学院_n 师范大学_n 医科_n 理工大学_n 医疗系_n
首现_v	微降_v
骇嵨馆_n
陈洋洋_np	凌文秀_np 杨凡_np 邹俊美_np 刘振_np 李志峰_np 徐洁_np 张召旭_np 刘洁_np 李楠楠_np 谢晓丽_np 王尚磊_np 李晓闻_np 李珍梅_np
仲裁院_n	仲裁员_n
１型_a	２型_a
海门市_ns	海门_ns
翟隽_np	卢沙野_np 高虎城_np 朱光耀_np 程国平_np 蒋耀平_np 马朝旭_np 蔡武_np 张志贤_np 王家瑞_np 陈德铭_np 崔天凯_np
尤溪县_ns	云霄县_ns 藤县_ns 漳浦_ns 尤溪_ns 漳平市_ns 龙海市_ns 灵山县_ns
达维_nz	泰利_nz 古超_nz 韦森特_nz 卡努_nz
颊罗颈_ns
哄廆_v
房贷_v	贷款_v 还贷_v 按揭_v
熔岩_n	火山灰_n 岩浆_n 倒影_n 沙粒_n 巨兽_n 岩石_n
痛下决心_id	顾此失彼_id 大刀阔斧_id 一蹴而就_id
惰性_n	自卑感_n 潜意识_n
拨乱反正_id	自由主义_id
短文_n	文采_n 字数_n 句子_n 文言_n 文言文_n
油菜籽_n	收购量_n 亩产量_n 总产量_n 夏粮_n 棉花_n 粮食_n 主产区_n 小麦_n 产量_n 总产_n
独享_v
福建人_n	湖南人_n 湖北人_n
圈舍_n	猪舍_n 养殖区_n 养殖场_n 鸡舍_n
德维恩－韦德_np	隆多_np 巴蒂尔_np 勒布朗_np 波什_np 韦德_np 哈登_np 肖恩－巴蒂尔_np 克里斯－波什_np 查尔莫斯_np 杜兰特_np
盐酸_n	氯_n 甲苯_n 溶液_n 碱_n 氟_n 盐水_n 硫酸_n 溶剂_n 乙酸_n 苯_n
编曲_n	和声_n 曲目_n
完美无缺_id	人云亦云_id
租房者_n	租户_n 租客_n 房主_n 购房人_n 中介费_n 房东_n
裁掉_v
直爽_a	倔强_a 率真_a 豪爽_a 耿直_a 泼辣_a 大大咧咧_a 直率_a 随和_a 狡黠_a
铺子_n	杂货店_n 瓜摊_n 小推车_n 水果摊_n 小卖部_n 小吃摊_n 面馆_n 我家_n
忙里偷闲_id	通宵达旦_id
隆胸_n	脑瘤_n 宫外孕_n
拉法埃拉_np	阿汤哥_np 夏奇拉_np
主厨_n	西餐_n 厨师_n 菜色_n 招牌菜_n 大厨_n 火锅_n 甜点_n
东兴_nz	华创_nz 恒泰_nz 华福_nz 国海_nz 安信_nz 国元_nz 日信_nz 湘财_nz 财通_nz 建投_nz 国信_nz 金元_nz 国都_nz 中信_nz 德邦_nz 宏源_nz
坑道_n	小路_n 山顶_n 石阶_n
年糕_n	肉馅_n 馅儿_n 酱料_n 素菜_n 菜_n 馄饨_n 面条_n 面食_n
市人_n	关系处_n 社局_n 总工会_n 人社局_n 人保局_n
足球圈_n	足球界_n 足坛_n
林琳_np	尤婷婷_np 朱华_np
钢企_n	亏损面_n 钢铁业_n 盈利_n
裤兜_n	口袋_n 小刀_n 手提包_n 裤袋_n 螺丝刀_n 挎包_n 钱包_n
杨成武_np	肖劲光_np 李达_np 徐向前_np 许世友_np 陈锡联_np 王树声_np 李克农_np 李天佑_np 贺龙_np
奇闻_n	名著_n
比基尼_n	女主播_n 泳装_n 女郎_n 美女_n 基尼_n
联防费_n	茶水费_n
犯罪案_n	主犯_n 团伙案_n 涉案人员_n 罪_n 案件_n 贩毒案_n
喜酒_n	饭点_n
府邸_n	首相府_n 神社_n 官邸_n
红颜_n	美人_n
自转_v
怜惜_v	怜悯_v
在劫难逃_id
保暖_v	避雨_v 防寒_v 透气_v
放盘_v	反价_v
颤_v	抽搐_v
刚柔并济_id
气势汹汹_id
张娜拉_np
金穗_nz	华润_nz 碧桂园_nz
瘦瘦_a	圆圆的_a 微胖_a
神迹_n	橙军_n
时车_n	面包车_n
收件_n	收件人_n 回执_n 收货人_n 快件_n
上季末_t
食品级_n	清洗剂_n 碱_n 碱水_n 溶剂_n 清洁剂_n 洗涤剂_n
陈文清_np	何报翔_np 吉炳轩_np 袁荣祥_np 李宪生_np 黄莉新_np 于伟国_np 叶双瑜_np
大港_n	北辰_n
张建_np	王飞_np 王翔_np
省际_n	线网_n 城际_n
帕托_np	罗比尼奥_np
销号_n	时限_n 限期_n 台账_n 台帐_n
规制_v	立法_v 制宪_v
重置_v	挂机_v 绑定_v
中端_n	轻客_n 低端_n 高端_n 自主车_n
操持_v	照顾_v 做饭_v 张罗_v 在家_v
怡东苑_ns	东圃_ns
毛皮_n	制成品_n 皮革_n 亚麻_n 鞋帽_n 箱包_n 羊毛_n 鞋类_n 羽绒_n 棉布_n 橡胶_n
厚街镇_ns	厚街_ns 万江_ns 白云区_ns 长安镇_ns 塘厦镇_ns
外挂_v	盗号_v
腾翼_nz	马自达８_nz 哈弗Ｈ６_nz 哈弗_nz
开起_v	打趣_v
沙某_np	蔡某_np 陈某_np 董发_np 杨某_np 张某_np 赵某_np
能工巧匠_id
铜质_n	颜料_n 花瓣_n 银质_n 瓷碗_n 瓷盘_n 笔筒_n 图案_n
旅游圈_n	夏都_n 旅游区_n 温泉_n 新景点_n 度假区_n 门源_n
适用性_n	应用性_n 有效性_n 实践性_n 科学性_n 实用性_n 灵活性_n 预见性_n 时效性_n 前瞻性_n 可操作性_n 操作性_n
蜚声_v	齐名_v 闻名_v 誉为_v 享誉_v
子座_n	处女座_n 负心汉_n 古装戏_n 捉妖师_n 天蝎座_n
针管_n	小刀_n 钳子_n 注射器_n 镊子_n 棉签_n 针头_n
违例_v	犯规_v 罚_v
三毛_np	张爱玲_np 徐志摩_np 李小龙_np
王新_np	富子梅_np
中视_v	播出_v 播剧_v 首播_v 亚视_v
马其顿_ns	阿塞拜疆_ns 丹麦_ns 波黑_ns 南斯拉夫_ns 亚美尼亚_ns 塞尔维亚_ns 立陶宛_ns
顶包_n	肇事者_n
低洼处_n	排水渠_n 落石_n 土石_n 积水_n 排水沟_n 地势_n
奶_v
飞轮_n	晶体管_n 电容器_n 连接器_n 发电机_n 控制器_n
根雕_n	木雕_n 泥塑_n 紫砂_n 奇石_n 唐卡_n 陶艺_n 精品展_n 珍品_n 玉雕_n 漆器_n 桑皮纸_n 石雕_n 瓷器_n 雕刻_n
女式_n	手提包_n 衣裤_n 皮包_n 提包_n 透明胶_n 手包_n 布包_n 挎包_n 包_n 背包_n
录音棚_n	片尾曲_n 录音室_n
猜忌_v	消弭_v 猜疑_v 言说_v 纷扰_v 对立_v
李学仕_np	谭达明_np 钱兴强_np 骆云飞_np
波茨坦_ns	马尔维纳斯群岛_ns 琉球群岛_ns
汪丹_np	王衍_np 叶卡斯_np 戚淑军_np 韩杰杰_np 李传智_np 刘冕_np
万里长城_ns	石窟_ns
广本_n	商务车_n
习题_n	知识点_n 课_n 功课_n 奥数_n 题目_n 数学题_n 外书_n 错题_n 课本_n
鸡西_ns	鹤岗_ns 牡丹江_ns 阳泉_ns 盘锦_ns 吕梁_ns
马原_np	刘青_np 王喆_np 谢磊_np 许银娟_np 刘婷_np 吕莉红_np 师文静_np 孙琳_np 秦华_np 田超_np
雨刷_v
东川_ns	慈利县_ns 临城_ns 龙泉_ns 吉首市_ns
萝岗_n	海珠_n
拾遗_v
幸运者_n	四等奖_n 纪念奖_n 特等奖_n 奖品_n 彩民_n 大奖_n 幸运儿_n
东道国_n	主办国_n
亚硝胺_n	胆碱_n 维生素Ｂ族_n 硝酸盐_n 乳酸_n 嘌呤_n 胺_n
棉农_n	棉田_n 农户_n 机手_n 烟农_n
上半年度_n	＊Ｓ_n 年报_n
执黑_v	执白_v
税务所_n	内勤_n 分局_n 管理科_n 科员_n 稽查队_n
东昌湖_ns	虞河_ns 东平湖_ns 大明湖_ns
候诊_v	坐诊_v 接诊_v 预约_v 看病_v 就诊_v 开诊_v 取号_v 挂号_v 复诊_v 加号_v 诊疗_v 查房_v
自住型_n	自住性_n 购房者_n 改善性_n 需求者_n 置业者_n 改善型_n 购房人_n 投机性_n
刘志庚_np	何报翔_np 顾朝曦_np 李友志_np 徐少华_np 凌成兴_np 张志南_np 骆玉林_np 陈云贤_np 李国梁_np 许瑞生_np 陈荣凯_np 陈桦_np 虞海燕_np 肖志恒_np 雷于蓝_np
古什_n	新闻部长_n 古沙_n
送审稿_n	草案_n 修改稿_n 审议稿_n 初稿_n
保亭_ns	文昌_ns 万宁_ns 定安_ns 乐东_ns 五指山_ns 定安县_ns 儋州_ns 琼海_ns 澄迈_ns 屯昌_ns 昌江_ns 临高_ns
分场_n	村部_n 村屯_n 农场_n 行政村_n 自然村_n
收款人_n	汇款_n 银行卡_n 持卡人_n 卡号_n 宝账户_n
传销案_n	涉案人员_n 团伙_n 大案_n 案值_n 案件_n 贩毒案_n
期中_t	考前_t 小升初_t
正行_v	称＂_v
许仕仁_np	郭炳江_np 欧文龙_np 郭炳联_np
预受_v	增发_v 要约_v 受让_v
南漳_ns	汝城_ns 监利县_ns
本作_n	续作_n 原画_n Ｘｂｏｘ_n 火影忍者_n 国服_n 正式版_n 仙剑_n
竹筏_n	山脚_n 小径_n 游船_n 栈桥_n 竹排_n 山道_n 石阶_n
靶位_n
沙田_nz
湄洲岛_ns	妈祖_ns
菱智_nz	骏捷_nz 奔腾Ｂ_nz 兰达_nz
开瑞_v
宣酒_v
繁鸭_a
滉行_n	忏馆_n 嵢颊_n
大满_a
Ｖ型_n	歧管_n 汽油机_n Ｖ６引擎_n Ｖ８引擎_n Ｖ６_n Ｖ８_n ＶＶＴ_n
力主_v
愕然_a	惊讶_a 惊诧_a 心碎_a 吃惊_a
